x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,5.149493525655674669e-02,1.941938551855295358e+01,0.000000000000000000e+00
5.180267111535802549e+00,2.600832372047127805e+00,5.067104930803554425e-02,1.973513502593713653e+01,9.210053071488005783e-03
5.360389063752548644e+00,2.603308716935669676e+00,4.976068081901304646e-02,2.009618806537530844e+01,1.825719443714549084e-02
5.540428947392902259e+00,2.607397877786362894e+00,4.876786908236864504e-02,2.050530439029447649e+01,2.713025126348042257e-02
5.720449853199527368e+00,2.613068697719945988e+00,4.769708853065991738e-02,2.096564026873873487e+01,3.581856931539680738e-02
5.900514871915087056e+00,2.620290019857156150e+00,4.655319824768085202e-02,2.148080126911188614e+01,4.431205245066407311e-02
6.080687094282247074e+00,2.629030687318731019e+00,4.534138836599692357e-02,2.205490471372364425e+01,5.260119723733596570e-02
6.261029611043671395e+00,2.639259543225408677e+00,4.406712438941277898e-02,2.269265385150141867e+01,6.067712251866574230e-02
6.441605512942023104e+00,2.650945430697926763e+00,4.273609046708327919e-02,2.339942631790880156e+01,6.853159382996321103e-02
6.622477890719966176e+00,2.664057192857022915e+00,4.135413260653800216e-02,2.418138011778542662e+01,7.615704264888324693e-02
6.803709835120166360e+00,2.678563672823434771e+00,3.992720274965706750e-02,2.504558123618086185e+01,8.354658053315952571e-02
6.985364436885284967e+00,2.694433713717899970e+00,3.846130455266780906e-02,2.600015812335820797e+01,9.069400826640339197e-02
7.167504786757988633e+00,2.711636158661157037e+00,3.696244161298383596e-02,2.705448981077940829e+01,9.759382019217281712e-02
7.350193975480941333e+00,2.730139850773942722e+00,3.543656877678757339e-02,2.821943643299465165e+01,1.042412039682799468e-01
7.533495093796805264e+00,2.749913633176995109e+00,3.388954704618877406e-02,2.950762365271743093e+01,1.106320360167544342e-01
7.717471232448245289e+00,2.770926348991052279e+00,3.232710248783000895e-02,3.093379619705985206e+01,1.167628729798041581e-01
