x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,2.037073553557510255e-02,4.909002908871980253e+01,0.000000000000000000e+00
5.139673919255580259e+00,2.600199441867629968e+00,2.059869869632974596e-02,4.854675602290249969e+01,2.861125921502943783e-03
5.277896207965332209e+00,2.600792422326950515e+00,2.082934221163550148e-02,4.800919730635511229e+01,5.724233755720135354e-03
5.414670341953318200e+00,2.601770923662609647e+00,2.106268240310286977e-02,4.747733364923567478e+01,8.589121847245986818e-03
5.549999797043600580e+00,2.603126928159254838e+00,2.129873382128785742e-02,4.695114781896145928e+01,1.145558144408948160e-02
5.683888049060240810e+00,2.604852418101533118e+00,2.153750902861902017e-02,4.643062476125725624e+01,1.432339639526934369e-02
5.816338573827300351e+00,2.606939375774092404e+00,2.177901836063474497e-02,4.591575173137671584e+01,1.719234283126916743e-02
5.947354847168842440e+00,2.609379783461579727e+00,2.202326966332882746e-02,4.540651843650219632e+01,2.006218882617945634e-02
6.076940344908928537e+00,2.612165623448642560e+00,2.227026800416386301e-02,4.490291719044559215e+01,2.293269404026113470e-02
6.205098542871619216e+00,2.615288878019927932e+00,2.252001535404686908e-02,4.440494308190154271e+01,2.580360934156466363e-02
6.331832916880978601e+00,2.618741529460084205e+00,2.277251023726408613e-02,4.391259415765405549e+01,2.867467640512928392e-02
6.457146942761067265e+00,2.622515560053757966e+00,2.302774734604004850e-02,4.342587162230457665e+01,3.154562728816731609e-02
6.581044096335946669e+00,2.626602952085596687e+00,2.328571711601359201e-02,4.294478005628178607e+01,3.441618397950799851e-02
6.703527853429680050e+00,2.630995687840248287e+00,2.354640525850714219e-02,4.246932765411006727e+01,3.728605792143276781e-02
6.824601689866328869e+00,2.635685749602360239e+00,2.380979224499718896e-02,4.199952648516349996e+01,4.015494950187779161e-02
6.944269081469954585e+00,2.640665119656579130e+00,2.407585273866895068e-02,4.153539277941627716e+01,4.302254751480889816e-02
7.062533504064619549e+00,2.645925780287552875e+00,2.434455496734760915e-02,4.107694724102619688e+01,4.588852858638711035e-02
7.179398433474386110e+00,2.651459713779928951e+00,2.461586003143340778e-02,4.062421539296382633e+01,4.875255656433740564e-02
