x_m,y_m,curvature_1_per_m,radius_m,heading_rad
9.013313230764966377e+00,2.658505594245470505e+00,4.473660515469379817e-02,2.235305957039253144e+01,4.840984578984419001e-02
9.064619120953949505e+00,2.661051815876885218e+00,4.817787125752968219e-02,2.075641729072267339e+01,5.079474582648723507e-02
9.113822338861302441e+00,2.663613230606924009e+00,5.184136953104170886e-02,1.928961385561423825e+01,5.325717325839253447e-02
9.160992565708138358e+00,2.666187100295987822e+00,5.572346087827535072e-02,1.794576259691481823e+01,5.579638530463625762e-02
9.206199482715577531e+00,2.668770686804479819e+00,5.981409794467126839e-02,1.671846662178223397e+01,5.841078087952681491e-02
9.249512771104734909e+00,2.671361251992801833e+00,6.409493889931736077e-02,1.560185589022615460e+01,6.109772579566199319e-02
9.291002112096727217e+00,2.673956057721355695e+00,6.853710072051820423e-02,1.459063761797887615e+01,6.385335405513313523e-02
9.330737186912671177e+00,2.676552365850543680e+00,7.309853136122008987e-02,1.368016540658593350e+01,6.667234441375152754e-02
9.368787676773681738e+00,2.679147438240768508e+00,7.772100187753980260e-02,1.286653511718284904e+01,6.954767235540212922e-02
9.405223262900875625e+00,2.681738536752432012e+00,8.232675408994617750e-02,1.214671963026076540e+01,7.247033899695337622e-02
9.440113626515373113e+00,2.684322923245936465e+00,8.681489035998417314e-02,1.151876130757555750e+01,7.542908036030325503e-02
9.473528448838290927e+00,2.686897859581683701e+00,9.105766331708338435e-02,1.098205207087045210e+01,7.841006299779768041e-02
9.505537411090740463e+00,2.689460607620075994e+00,9.489691774391419143e-02,1.053775005315313074e+01,8.139657522484670948e-02
9.536210194493841996e+00,2.692008429221515620e+00,9.814105510008801214e-02,1.018941562203668560e+01,8.436872724403438051e-02
9.565616480268712252e+00,2.694538586246404854e+00,1.005630301301456420e-01,9.944012215083715134e+00,8.730317821086390484e-02
9.593825949636467953e+00,2.697048340555145529e+00,1.019000390342338636e-01,9.813538929696038693e+00,9.017291364956002420e-02
9.620908283818224049e+00,2.699534954008140364e+00,1.018557009202071262e-01,9.817810794737855673e+00,9.294710226869010161e-02
9.646933164035100816e+00,2.701995688465791190e+00,1.001056380382606831e-01,9.989447343792933864e+00,9.559106662167088375e-02
9.671970271508207873e+00,2.704427805788499839e+00,9.630738188554290036e-02,1.038342004965368304e+01,9.806640641391695112e-02
9.696089287458670825e+00,2.706828567836669031e+00,9.011541653921954775e-02,1.109688040519443675e+01,1.003313155041508642e-01
9.719359893107599291e+00,2.709195236470700596e+00,8.120185771935321817e-02,1.231498918973211332e+01,1.023411324670373823e-01
9.741851769676115325e+00,2.711525073550997256e+00,6.928270515064907653e-02,1.443361655445740688e+01,1.040491585378979095e-01
9.763634598385330321e+00,2.713815340937960396e+00,5.414877576775244117e-02,1.846763820273728740e+01,1.054077645077423631e-01
9.784778060456364557e+00,2.716063300491992294e+00,3.569936152973157001e-02,2.801170545213162910e+01,1.063697887768906003e-01
9.805351837110334756e+00,2.718266214073495668e+00,1.397547511297953654e-02,7.155391798245652524e+01,1.068902022737353991e-01
9.825425609568355867e+00,2.720421343542872350e+00,-1.081153868970072263e-02,9.249377250553790475e+01,1.069279835782005472e-01
9.845069059051546390e+00,2.722525950760524616e+00,-3.826094533721280389e-02,2.613631187589593097e+01,1.064481122756042314e-01
9.864351866781019496e+00,2.724577297586854741e+00,-6.777802255813185350e-02,1.475404507622393346e+01,1.054235549164956320e-01
9.883343713977897238e+00,2.726572645882264112e+00,-9.858784203862872020e-02,1.014323855073508618e+01,1.038370918818684874e-01
9.902114281863289236e+00,2.728509257507155894e+00,-1.297693056568184067e-01,7.705982512109230242e+00,1.016828212400636700e-01
9.920733251658319318e+00,2.730384394321931918e+00,-1.603083908747302555e-01,6.237976655766133582e+00,9.896718262254078358e-02
9.939270304584100657e+00,2.732195318186994015e+00,-1.891662509188170027e-01,5.286355230612262979e+00,9.570937297595703830e-02
9.957795121861749976e+00,2.733939290962744906e+00,-2.153548325376303529e-01,4.643499234340438875e+00,9.194107566177170399e-02
9.976377384712382224e+00,2.735613574509586421e+00,-2.380107794166692325e-01,4.201490379767078842e+00,8.770548931326452302e-02
9.995086774357119452e+00,2.737215430687920836e+00,-2.564581520049331043e-01,3.899271644056627739e+00,8.305571392572311251e-02
