x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,1.183190758239426391e-02,8.451722539550495128e+01,0.000000000000000000e+00
5.178673607075737984e+00,2.600192111758083069e+00,1.245313838816607989e-02,8.030104290419482993e+01,2.168918273420194619e-03
5.354008980099933090e+00,2.600767110397791182e+00,1.310573962022532589e-02,7.630244678879154208e+01,4.408970799334349482e-03
5.526060111096716909e+00,2.601722990967313631e+00,1.379099149885546979e-02,7.251110263413556822e+01,6.722150313885641958e-03
5.694880992090221916e+00,2.603057748514840508e+00,1.451017810488971702e-02,6.891714166230769933e+01,9.110461507205709977e-03
5.860525615104577923e+00,2.604769378088560128e+00,1.526457914216146003e-02,6.551114123008832735e+01,1.157591537891393928e-02
6.023047972163915631e+00,2.606855874736662138e+00,1.605546038197751962e-02,6.228410622983530942e+01,1.412052287238505649e-02
6.182502055292368404e+00,2.609315233507335741e+00,1.688406266341104661e-02,5.922745135073861178e+01,1.674628773206989982e-02
6.338941856514065165e+00,2.612145449448770140e+00,1.775158932027952677e-02,5.633298416033057521e+01,1.945519852692323415e-02
6.492421367853138392e+00,2.615344517609155428e+00,1.865919190473341871e-02,5.359288896891201404e+01,2.224921978230824313e-02
6.642994581333718784e+00,2.618910433036679475e+00,1.960795407897547582e-02,5.099971144221745334e+01,2.513028216273995377e-02
6.790715488979937042e+00,2.622841190779532816e+00,2.059887355137907453e-02,4.854634393020248240e+01,2.810027164864283000e-02
6.935638082815924754e+00,2.627134785885904211e+00,2.163284194187192755e-02,4.622601148231142787e+01,3.116101765209442626e-02
7.077816354865813508e+00,2.631789213403982863e+00,2.271062247466893586e-02,4.403225852199269497e+01,3.431428001948152312e-02
7.217304297153734893e+00,2.636802468381958420e+00,2.383282541511191552e-02,4.195893615558984635e+01,3.756173487330167343e-02
7.354155901703818721e+00,2.642172545868019640e+00,2.499988119239498000e-02,4.000019009307141005e+01,4.090495925120535281e-02
7.488425160540197467e+00,2.647897440910356170e+00,2.621201118225067669e-02,3.815044916038890932e+01,4.434541450800813522e-02
7.620166065687000057e+00,2.653975148557157215e+00,2.746919616417692334e-02,3.640441438559888354e+01,4.788442845603160802e-02
7.749432609168360742e+00,2.660403663856611978e+00,2.877114251740604117e-02,3.475704864327224186e+01,5.152317623098071758e-02
7.876278783008409334e+00,2.667180981856909661e+00,3.011724627938329110e-02,3.320356684417553339e+01,5.526265988485545844e-02
8.000758579231277423e+00,2.674305097606239912e+00,3.150655526072809048e-02,3.173942665977412858e+01,5.910368672433202741e-02
8.122925989861094820e+00,2.681774006152791490e+00,3.293772949197979610e-02,3.036031977381731650e+01,6.304684643282162937e-02
8.242835006921993113e+00,2.689585702544754486e+00,3.440900037007328660e-02,2.906216365616174713e+01,6.709248703717062001e-02
8.360539622438103891e+00,2.697738181830317217e+00,3.591812897624491879e-02,2.784109385712622853e+01,7.124068980580892940e-02
8.476093828433558741e+00,2.706229439057669772e+00,3.746236415123514046e-02,2.669345682410782317e+01,7.549124319412123252e-02
8.589551616932489253e+00,2.715057469275000912e+00,3.903840103691328528e-02,2.561580324599966474e+01,7.984361598486289235e-02
8.700966979959025238e+00,2.724220267530499839e+00,4.064234092375045015e-02,2.460488193522393630e+01,8.429692980642469746e-02
8.810393909537298285e+00,2.733715828872356646e+00,4.226965337801682349e-02,2.365763426203229614e+01,8.884993124940461506e-02
8.917886397691439981e+00,2.743542148348759646e+00,4.391514175733745445e-02,2.277118916126275394e+01,9.350096384186130927e-02
