x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,3.519857214298060394e-02,2.841024334560749409e+01,0.000000000000000000e+00
5.182347424001414460e+00,2.600569981906838635e+00,3.253094213674909835e-02,3.073996430218152298e+01,6.170534615489414731e-03
5.368461447445393553e+00,2.602267459205297229e+00,3.010057839128796667e-02,3.322195298045936340e+01,1.199485233164307614e-02
5.558312684070250143e+00,2.605073729262289195e+00,2.788205709777901928e-02,3.586535944938066223e+01,1.749563987812414317e-02
5.751871747614295316e+00,2.608970089444728302e+00,2.585308776208585305e-02,3.868009922847679860e+01,2.269364090728225383e-02
5.949109251815841937e+00,2.613937837119527874e+00,2.399408119439474726e-02,4.167694490562988818e+01,2.760785288787200031e-02
6.149995810413200203e+00,2.619958269653601679e+00,2.228778265677651069e-02,4.486763063870573376e+01,3.225570127219989924e-02
6.354502037144682092e+00,2.627012684413863486e+00,2.071895961632158611e-02,4.826497172243335854e+01,3.665319382503054446e-02
6.562598545748599577e+00,2.635082378767227063e+00,1.927413535530430808e-02,5.188300183462168036e+01,4.081505761010514877e-02
6.774255949963265522e+00,2.644148650080605290e+00,1.794136117399252120e-02,5.573713110739792853e+01,4.475486079284038410e-02
6.989444863526989238e+00,2.654192795720912823e+00,1.671002114364721763e-02,5.984432882541133125e+01,4.848512112802734475e-02
7.208135900178085365e+00,2.665196113055062543e+00,1.557066437427443058e-02,6.422333536725523118e+01,5.201740275242611178e-02
7.430299673654863213e+00,2.677139899449968219e+00,1.451486059264238404e-02,6.889490902219910140e+01,5.536240268821800148e-02
7.655906797695635646e+00,2.690005452272543174e+00,1.353507551275525377e-02,7.388211458869326975e+01,5.853002827929525836e-02
7.884927886038714639e+00,2.703774068889702065e+00,1.262456304936073088e-02,7.921066226926855336e+01,6.152946662401190259e-02
8.117333552422412168e+00,2.718427046668357328e+00,1.177727189637336851e-02,8.490930741846375440e+01,6.436924693157826394e-02
8.353094410585036655e+00,2.733945682975423175e+00,1.098776438362984720e-02,9.101032431036225034e+01,6.705729661158922605e-02
8.592181074264905405e+00,2.750311275177812931e+00,1.025114585128954897e-02,9.755007045131490884e+01,6.960099180452947176e-02
8.834564157200325951e+00,2.767505120642440808e+00,9.563003052997422898e-03,1.045696623182150375e+02,7.200720297319160301e-02
9.080214273129611158e+00,2.785508516736219686e+00,8.919350326075553212e-03,1.121157890924542784e+02,7.428233609881507160e-02
9.329102035791073888e+00,2.804302760826063778e+00,8.316582457230785666e-03,1.202416984551819183e+02,7.643236995972818582e-02
9.581198058923023453e+00,2.823869150278886409e+00,7.751433331890873572e-03,1.290083984707459877e+02,7.846288991293154380e-02
9.836472956263772716e+00,2.844188982461600901e+00,7.220939589509326774e-03,1.384861329476863148e+02,8.037911854917895171e-02
1.009489734155163632e+01,2.865243554741121912e+00,6.722408620283676015e-03,1.487562057716451989e+02,8.218594354865743634e-02
1.035644182852492179e+01,2.887014164484361878e+00,6.253390334232828210e-03,1.599132544990382314e+02,8.388794302645456724e-02
1.062107703092194200e+01,2.909482109058235011e+00,5.811652214381816603e-03,1.720681078481172790e+02,8.548940862387151285e-02
1.088877356248100980e+01,2.932628685829654636e+00,5.395157234306302910e-03,1.853514098979874802e+02,8.699436657264793260e-02
