x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,1.190179196539208235e-02,8.402096112146729467e+01,0.000000000000000000e+00
5.179965407491191165e+00,2.600193178125059568e+00,1.198443353260596547e-02,8.344157421202319824e+01,2.149314098137338359e-03
5.359137695808596114e+00,2.600771094657065685e+00,1.206905257594615907e-02,8.285654517679525100e+01,4.304149277155938126e-03
5.537513128046618327e+00,2.601731322831260851e+00,1.215570309784978938e-02,8.226591188928340159e+01,6.464695274010967899e-03
5.715087967299659510e+00,2.603071435882886586e+00,1.224444096918231480e-02,8.166971464984571583e+01,8.631145995361464915e-03
5.891858476662124922e+00,2.604789007047184857e+00,1.233532400603104019e-02,8.106799622864187427e+01,1.080369964331942198e-02
6.067820919228415377e+00,2.606881609559398072e+00,1.242841205013260793e-02,8.046080190826391743e+01,1.298255884574128598e-02
6.242971558092936135e+00,2.609346816654767753e+00,1.252376705312899761e-02,7.984817952599615865e+01,1.516793079125168878e-02
6.417306656350088900e+00,2.612182201568536311e+00,1.262145316485839205e-02,7.923017951564213490e+01,1.736002736919835254e-02
6.590822477094278042e+00,2.615385337535945265e+00,1.272153682589960248e-02,7.860685494885443347e+01,1.955906531474669793e-02
6.763515283419906154e+00,2.618953797792237026e+00,1.282408686460189545e-02,7.797826157590078822e+01,2.176526635933268353e-02
6.935381338421375830e+00,2.622885155572653115e+00,1.292917459884622422e-02,7.734445786579740911e+01,2.397885738670308894e-02
7.106416905193091438e+00,2.627176984112435942e+00,1.303687394279889021e-02,7.670550504573719763e+01,2.620007059478369690e-02
7.276618246829455572e+00,2.631826856646827029e+00,1.314726151893467164e-02,7.606146713973865303e+01,2.842914366362753881e-02
7.445981626424871713e+00,2.636832346411068340e+00,1.326041677562355900e-02,7.541241100643881623e+01,3.066631992970787757e-02
7.614503307073741567e+00,2.642191026640402729e+00,1.337642211059365989e-02,7.475840637594973259e+01,3.291184856683386506e-02
7.782179551870470391e+00,2.647900470570070830e+00,1.349536300060222987e-02,7.409952588569682064e+01,3.516598477398059225e-02
7.949006623909459890e+00,2.653958251435315940e+00,1.361732813766775886e-02,7.343584511515415159e+01,3.742898997033983211e-02
8.114980786285114434e+00,2.660361942471378693e+00,1.374240957223844123e-02,7.276744261938878822e+01,3.970113199791359265e-02
8.280098302091836615e+00,2.667109116913502387e+00,1.387070286369604041e-02,7.209439996132512363e+01,4.198268533198862978e-02
8.444355434424029028e+00,2.674197347996928098e+00,1.400230723862013089e-02,7.141680174263522929e+01,4.427393129984744796e-02
8.607748446376096041e+00,2.681624208956897792e+00,1.413732575726453500e-02,7.073473563316208867e+01,4.657515830808996865e-02
8.770273601042440248e+00,2.689387273028653880e+00,1.427586548872772365e-02,7.004829239877636837e+01,4.888666207895876747e-02
8.931927161517464242e+00,2.697484113447438325e+00,1.441803769532972075e-02,6.935756592756857231e+01,5.120874589608191002e-02
9.092705390895570616e+00,2.705912303448492651e+00,1.456395802674230293e-02,6.866265325427349353e+01,5.354172086006846881e-02
9.252604552271165517e+00,2.714669416267059709e+00,1.471374672445496974e-02,6.796365458282294014e+01,5.588590615441550724e-02
9.411620908738651536e+00,2.723753025138380135e+00,1.486752883719804491e-02,6.726067330692067969e+01,5.824162932220851990e-02
9.569750723392427716e+00,2.733160703297697225e+00,1.502543444798594592e-02,6.655381602853040590e+01,6.060922655412443599e-02
9.726990259326900201e+00,2.742890023980251613e+00,1.518759891348796416e-02,6.584319257416716198e+01,6.298904298827208426e-02
9.883335779636475138e+00,2.752938560421286596e+00,1.535416311648211615e-02,6.512891600887954269e+01,6.538143302243525079e-02
1.003878354741554979e+01,2.763303885856043696e+00,1.552527373219898983e-02,6.441110264780887462e+01,6.778676063931296514e-02
1.019332982575853030e+01,2.773983573519764434e+00,1.570108350941769315e-02,6.368987206521055100e+01,7.020539974538522743e-02
1.034697087775982105e+01,2.784975196647690776e+00,1.588175156723586889e-02,6.296534710082009667e+01,7.263773452406588338e-02
1.049970296651382284e+01,2.796276328475065576e+00,1.606744370849933282e-02,6.223765386344695827e+01,7.508415980384158805e-02
1.065152235511494183e+01,2.807884542237129910e+00,1.625833275094619099e-02,6.150692173167649912e+01,7.754508144213459464e-02
1.080242530665757705e+01,2.819797411169126189e+00,1.645459887719418618e-02,6.077328335156101247e+01,8.002091672566816194e-02
1.095240808423613466e+01,2.832012508506296378e+00,1.665643000478010324e-02,6.003687463117952205e+01,8.251209478815739462e-02
1.110146695094501723e+01,2.844527407483882442e+00,1.686402217754612992e-02,5.929783473194584786e+01,8.501905704619475146e-02
1.124959816987862737e+01,2.857339681337125903e+00,1.707757997976097619e-02,5.855630605654445731e+01,8.754225765424958339e-02
1.139679800413136945e+01,2.870446903301269170e+00,1.729731697446373201e-02,5.781243423337352283e+01,9.008216397975295220e-02
1.154306271679764606e+01,2.883846646611554210e+00,1.752345616762652006e-02,5.706636809737550209e+01,9.263925709929558827e-02
1.168838857097185979e+01,2.897536484503222987e+00,1.775623049984875398e-02,5.631825966713587661e+01,9.521403231702683934e-02
1.183277182974841324e+01,2.911513990211517022e+00,1.799588336742194428e-02,5.556826411813192834e+01,9.780699970640500951e-02
1.197620875622171255e+01,2.925776736971679171e+00,1.824266917474017674e-02,5.481653975201480478e+01,1.004186846765182523e-01
1.211869561348615854e+01,2.940322298018950509e+00,1.849685392017883651e-02,5.406324796180968661e+01,1.030496285642669846e-01
1.226022866463615379e+01,2.955148246588573446e+00,1.875871581772339813e-02,5.330855319292119532e+01,1.057003892537751455e-01
1.240080417276610447e+01,2.970252155915789949e+00,1.902854595680275249e-02,5.255262289983316037e+01,1.083715418244803885e-01
1.254041840097040961e+01,2.985631599235841982e+00,1.930664900296812439e-02,5.179562749839519853e+01,1.110636792294405484e-01
