x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,4.624926216936509765e-02,2.162196655890408792e+01,0.000000000000000000e+00
5.141004032048707373e+00,2.600453529699205291e+00,4.439535148843178763e-02,2.252488079209312133e+01,6.389274817850308652e-03
5.283193949811351153e+00,2.601804868684079786e+00,4.264111719274953083e-02,2.345154315445643789e+01,1.257610419871288583e-02
5.426539165122258979e+00,2.604040141785513462e+00,4.098009065385405797e-02,2.440209340791082226e+01,1.856895542876111499e-02
5.571009089815755821e+00,2.607145473834395766e+00,3.940627431681156811e-02,2.537666951106256619e+01,2.437584723027391709e-02
5.716573135726169319e+00,2.611106989661615696e+00,3.791410476988997524e-02,2.637540846788407478e+01,3.000437634847396423e-02
5.863200714687826220e+00,2.615910814098062698e+00,3.649841873433843503e-02,2.739844723900819901e+01,3.546174246936870805e-02
6.010861238535052387e+00,2.621543071974626660e+00,3.515442176630136084e-02,2.844592372042907158e+01,4.075477156418658153e-02
6.159524119102174566e+00,2.627989888122197026e+00,3.387765947068419742e-02,2.951797779493424656e+01,4.588993775326589974e-02
6.309158768223518621e+00,2.635237387371662354e+00,3.266399103619205269e-02,3.061475246218348545e+01,5.087338377892083180e-02
6.459734597733413075e+00,2.643271694553912532e+00,3.150956491114897257e-02,3.173639505400380045e+01,5.571094017306715135e-02
6.611221019466182902e+00,2.652078934499837448e+00,3.041079645060461301e-02,3.288305854219475322e+01,6.040814320139389210e-02
6.763587445256154851e+00,2.661645232040325659e+00,2.936434737629039712e-02,3.405490294694675413e+01,6.497025166173060751e-02
6.916803286937655670e+00,2.671956712006267054e+00,2.836710690194585438e-02,3.525209685487541122e+01,6.940226261007752251e-02
7.070837956345012110e+00,2.682999499228551077e+00,2.741617438721108760e-02,3.647481905668331592e+01,7.370892608360422871e-02
7.225660865312550030e+00,2.694759718538067172e+00,2.650884339354709490e-02,3.772326031559055792e+01,7.789475888583660690e-02
7.381241425674597068e+00,2.707223494765704341e+00,2.564258702541779081e-02,3.899762527894578312e+01,8.196405749527618800e-02
7.537549049265479084e+00,2.720376952742352472e+00,2.481504444919667429e-02,4.029813454685842800e+01,8.592091015486383321e-02
7.694553147919521052e+00,2.734206217298900121e+00,2.402400849091860385e-02,4.162502691330688265e+01,8.976920819602139667e-02
7.852223133471053274e+00,2.748697413266238065e+00,2.326741422207844953e-02,4.297856179700020363e+01,9.351265664750134377e-02
8.010528417754398944e+00,2.763836665475254417e+00,2.254332845018642770e-02,4.435902188133758983e+01,9.715478417594437810e-02
8.169438412603886590e+00,2.779610098756839065e+00,2.184994003774265794e-02,4.576671598515338957e+01,1.006989524018952059e-01
8.328922529853841183e+00,2.796003837941881898e+00,2.118555097970971010e-02,4.720198218860306838e+01,1.041483646320549988e-01
8.488950181338591250e+00,2.813004007861271472e+00,2.054856817547096384e-02,4.866519124158296705e+01,1.075060740457511321e-01
8.649490778892461762e+00,2.830596733345898119e+00,1.993749583668988704e-02,5.015675028554762349e+01,1.107749913709786121e-01
8.810513734349779469e+00,2.848768139226650398e+00,1.935092847746334305e-02,5.167710692355817770e+01,1.139578920829027592e-01
8.971988459544871120e+00,2.867504350334417751e+00,1.878754443771938829e-02,5.322675367794843027e+01,1.170574231554065703e-01
9.133884366312063463e+00,2.886791491500090512e+00,1.824609989497663967e-02,5.480623288022836448e+01,1.200761093941073721e-01
9.296170866485683248e+00,2.906615687554556793e+00,1.772542332338778587e-02,5.641614204387160214e+01,1.230163593772500980e-01
9.458817371900055448e+00,2.926963063328707371e+00,1.722441036246122673e-02,5.805713977759109667e+01,1.258804710290005735e-01
9.621793294389508588e+00,2.947819743653430358e+00,1.674201906101823595e-02,5.972995230475987682e+01,1.286706368479018370e-01
9.785068045788369417e+00,2.969171853359616087e+00,1.627726546482341149e-02,6.143538066397498199e+01,1.313889488116140591e-01
9.948611037930962908e+00,2.991005517278153558e+00,1.582921951894699503e-02,6.317430867662405802e+01,1.340374029775258102e-01
1.011239168265161581e+01,3.013306860239932217e+00,1.539700125829846118e-02,6.494771177998273970e+01,1.366179037973894173e-01
1.027637939178465665e+01,3.036062007075841507e+00,1.497977726193346938e-02,6.675666683917889088e+01,1.391322681627994440e-01
1.044054357716440862e+01,3.059257082616770873e+00,1.457675734869759432e-02,6.860236306872104706e+01,1.415822291970786906e-01
1.060485365062519847e+01,3.082878211693609316e+00,1.418719149354643640e-02,7.048611421470462801e+01,1.439694398079687521e-01
1.076927902400135828e+01,3.106911519137246724e+00,1.381036694548938917e-02,7.240937217288136196e+01,1.462954760144264399e-01
1.093378910912720769e+01,3.131343129778572543e+00,1.344560552955521848e-02,7.437374224625791896e+01,1.485618400597990829e-01
1.109835331783707879e+01,3.156159168448476215e+00,1.309226111648549747e-02,7.638100027968593508e+01,1.507699633226890212e-01
1.126294106196529476e+01,3.181345759977846299e+00,1.274971724503711282e-02,7.843311194914967643e+01,1.529212090359090837e-01
1.142752175334618414e+01,3.206889029197573571e+00,1.241738488282759581e-02,8.053225453154250602e+01,1.550168748230761617e-01
1.159206480381406834e+01,3.232775100938546142e+00,1.209470031259594902e-02,8.268084153838489669e+01,1.570581950615826949e-01
1.175653962520328122e+01,3.258990100031654347e+00,1.178112313158378652e-02,8.488155066634683976e+01,1.590463430799184119e-01
1.192091562934814597e+01,3.285520151307786740e+00,1.147613435247500820e-02,8.713735560130788826e+01,1.609824331965881428e-01
1.208516222808298934e+01,3.312351379597833656e+00,1.117923459497097149e-02,8.945156231445885453e+01,1.628675226071770454e-01
1.224924883324213631e+01,3.339469909732684094e+00,1.088994235762848553e-02,9.182785061295504647e+01,1.647026131254487602e-01
1.241314485665991540e+01,3.366861866543227499e+00,1.060779236005227229e-02,9.427032185941772013e+01,1.664886527837215469e-01
1.257681971017065337e+01,3.394513374860352428e+00,1.033233394591624721e-02,9.678355396122674392e+01,1.682265372971493977e-01
1.274024280560867339e+01,3.422410559514949657e+00,1.006312953758972499e-02,9.937266496119411840e+01,1.699171113959329626e-01
1.290338355480830757e+01,3.450539545337908187e+00,9.799753133367202287e-03,1.020433868476847294e+02,1.715611700288943997e-01
1.306621136960387908e+01,3.478886457160116574e+00,9.541788838444064877e-03,1.048021515599862425e+02,1.731594594412731725e-01
1.322869566182971468e+01,3.507437419812465151e+00,9.288829420843840862e-03,1.076561916139865218e+02,1.747126781290223863e-01
1.339080584332014112e+01,3.536178558125843363e+00,9.040474883484184848e-03,1.106136583407664489e+02,1.762214776713132425e-01
1.355251132590948515e+01,3.565095996931140210e+00,8.796331043465315663e-03,1.136837614522122237e+02,1.776864634423755418e-01
