x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,7.841785491582283982e-03,1.275219783904371980e+02,0.000000000000000000e+00
5.180767245770550922e+00,2.600127118765690248e+00,7.659296684109856770e-03,1.305602904865432095e+02,1.400937791605943875e-03
5.362146216828001855e+00,2.600506234008734818e+00,7.483114007832614677e-03,1.336342061544558533e+02,2.774096333829824661e-03
5.544115750369758011e+00,2.601133984148096712e+00,7.312958545162185839e-03,1.367435619693947046e+02,4.120224065930770847e-03
5.726654683593224604e+00,2.602007007602737954e+00,7.148565961355939254e-03,1.398881965146363484e+02,5.440041493916269490e-03
5.909741853695805069e+00,2.603121942791620569e+00,6.989685610286871208e-03,1.430679512292052777e+02,6.734242425305118039e-03
6.093356097874904620e+00,2.604475428133707027e+00,6.836079701671183076e-03,1.462826713029011216e+02,8.003495137757998812e-03
6.277476253327929356e+00,2.606064102047959796e+00,6.687522525020836266e-03,1.495322066218961083e+02,9.248443485564689440e-03
6.462081157252281827e+00,2.607884602953340902e+00,6.543799725986179476e-03,1.528164127683928371e+02,1.046970794770278254e-02
6.647149646845368132e+00,2.609933569268812814e+00,6.404707631114862562e-03,1.561351520781176987e+02,1.166788662092926865e-02
6.832660559304592596e+00,2.612207639413337557e+00,6.270052617381641387e-03,1.594882947597332077e+02,1.284355616113179097e-02
7.018592731827359543e+00,2.614703451805877155e+00,6.139650523142410436e-03,1.628757200805914351e+02,1.399727267594906739e-02
7.204925001611075075e+00,2.617417644865394522e+00,6.013326097437657163e-03,1.662973176236210975e+02,1.512957257146875165e-02
7.391636205853142627e+00,2.620346857010851238e+00,5.890912484818366761e-03,1.697529886205452101e+02,1.624097335562435171e-02
7.578705181750966524e+00,2.623487726661210218e+00,5.772250743093048503e-03,1.732426473670740279e+02,1.733197440073953530e-02
7.766110766501952867e+00,2.626836892235433485e+00,5.657189391600711895e-03,1.767662227262022441e+02,1.840305766750758784e-02
7.953831797303505091e+00,2.630390992152483065e+00,5.545583987802470659e-03,1.803236597262800558e+02,1.945468839254411650e-02
8.141847111353030186e+00,2.634146664831321427e+00,5.437296730156178023e-03,1.839149212611165467e+02,2.048731574151239562e-02
8.330135545847928924e+00,2.638100548690910596e+00,5.332196085395454581e-03,1.875399899000219364e+02,2.150137342969145673e-02
8.518675937985609181e+00,2.642249282150213041e+00,5.230156438477734718e-03,1.911988698164170728e+02,2.249728031173664489e-02
8.707447124963476170e+00,2.646589503628191231e+00,5.131057763597363791e-03,1.948915888444226141e+02,2.347544094227033487e-02
8.896427943978931552e+00,2.651117851543807191e+00,5.034785314779611186e-03,1.986182006737209349e+02,2.443624610883592119e-02
9.085597232229382314e+00,2.655830964316022946e+00,4.941229334681598515e-03,2.023787871939438503e+02,2.538007333865068688e-02
9.274933826912231893e+00,2.660725480363801410e+00,4.850284780326626945e-03,2.061734610009143012e+02,2.630728738050197926e-02
9.464416565224887279e+00,2.665798038106104162e+00,4.761851064590718295e-03,2.100023680782528004e+02,2.721824066304604287e-02
9.654024284364751907e+00,2.671045275961893672e+00,4.675831812344639557e-03,2.138656906691778659e+02,2.811327373068930879e-02
9.843735821529229213e+00,2.676463832350132410e+00,4.592134630232137631e-03,2.177636503547912810e+02,2.899271565815698948e-02
1.003353001391572619e+01,2.682050345689782844e+00,4.510670889136056926e-03,2.216965113567691787e+02,2.985688444478446987e-02
1.022338569872164449e+01,2.687801454399806556e+00,4.431355518449079343e-03,2.256645840841918869e+02,3.070608738950093494e-02
1.041328171314439111e+01,2.693713796899166013e+00,4.354106811325463358e-03,2.296682289462676749e+02,3.154062144741347912e-02
1.060319689438137125e+01,2.699784011606824130e+00,4.278846240144618812e-03,2.337078604549719500e+02,3.236077356884162204e-02
1.079311007962998659e+01,2.706008736941742043e+00,4.205498281467497101e-03,2.377839516441444800e+02,3.316682102159807660e-02
1.098300010608764765e+01,2.712384611322883110e+00,4.133990249812346737e-03,2.418970388344270361e+02,3.395903169726008364e-02
1.117284581095175255e+01,2.718908273169208911e+00,4.064252139618243151e-03,2.460477267765996316e+02,3.473766440212685408e-02
1.136262603141971006e+01,2.725576360899681916e+00,3.996216474802916085e-03,2.502366942094440958e+02,3.550296913351335543e-02
