x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,6.122799241969852091e-02,1.633239896459966189e+01,0.000000000000000000e+00
5.182632203701597717e+00,2.600989244502727615e+00,5.567715211195731206e-02,1.796068875773620022e+01,1.066418649106881666e-02
5.369784259847935282e+00,2.603930464079221796e+00,5.069606781239077709e-02,1.972539573879114627e+01,2.060923243735969870e-02
5.561421500329990941e+00,2.608783887831949144e+00,4.621648189766155990e-02,2.163730251502759927e+01,2.988907122110608452e-02
5.757509257038740280e+00,2.615509744863377062e+00,4.217921164259773315e-02,2.370836156145880835e+01,3.855254973799498996e-02
5.958012861865158882e+00,2.624068264275972062e+00,3.853286131549218257e-02,2.595187499346042159e+01,4.664396730321849344e-02
6.162897646700224108e+00,2.634419675172201547e+00,3.523272060457814658e-02,2.838270740494731470e+01,5.420355457865436849e-02
6.372128943434912429e+00,2.646524206654532030e+00,3.223982394376322808e-02,3.101753910766777977e+01,6.126789877687262992e-02
6.585672083960199430e+00,2.660342087825430468e+00,2.952014789839664186e-02,3.387516903512241839e+01,6.787032099334738833e-02
6.803492400167061582e+00,2.675833547787363820e+00,2.704392649170418023e-02,3.697687908990410222e+01,7.404121103888818001e-02
7.025555223946476247e+00,2.692958815642799486e+00,2.478506698352595308e-02,4.034687502215250277e+01,7.980832463972953317e-02
7.251825887189417230e+00,2.711678120494203981e+00,2.272065104238897917e-02,4.401282331806167747e+01,8.519704737393021809e-02
7.482269721786863670e+00,2.731951691444043817e+00,2.083050843017284284e-02,4.800650945953422166e+01,9.023062923808837510e-02
7.716852059629792038e+00,2.753739757594786841e+00,1.909685223353869629e-02,5.236465087391511730e+01,9.493039329785567249e-02
7.955538232609176141e+00,2.777002548048899566e+00,1.750396633685035938e-02,5.712990877357564301e+01,9.931592147386961167e-02
8.198293572615995117e+00,2.801700291908848506e+00,1.603793725742803586e-02,6.235215813285751096e+01,1.034052201526005632e-01
8.445083411541222773e+00,2.827793218277101062e+00,1.468642368029653492e-02,6.809009611656586003e+01,1.072148679881961136e-01
8.695873081275836469e+00,2.855241556256124635e+00,1.343845806188453083e-02,7.441329915939520845e+01,1.107601479744488027e-01
8.950627913710814454e+00,2.884005534948384852e+00,1.228427554521570320e-02,8.140488190119319256e+01,1.140551656126299052e-01
9.209313240737129647e+00,2.914045383456350002e+00,1.121516616582882500e-02,8.916497403728817517e+01,1.171129547779853619e-01
9.471894394245762072e+00,2.945321330882486155e+00,1.022334694834403646e-02,9.781532457547854165e+01,1.199455726920189841e-01
9.738336706127682874e+00,2.977793606329260712e+00,9.301851016088802035e-03,1.075054844751185072e+02,1.225641852362713974e-01
1.000860550827387385e+01,3.011422438899140186e+00,8.444431275899338604e-03,1.184212373015611064e+02,1.249791436933033045e-01
1.028266613257530970e+01,3.046168057694591536e+00,7.645476610274142860e-03,1.307962931514537956e+02,1.272000538694368077e-01
1.056048391092296512e+01,3.081990691818082162e+00,6.899938820636073410e-03,1.449288212540723180e+02,1.292358384391638915e-01
1.084202417520782014e+01,3.118850570372078579e+00,6.203268827978588099e-03,1.612053302429361850e+02,1.310947932509229086e-01
1.112725225732084766e+01,3.156707922459048188e+00,5.551360858551695858e-03,1.801360108773205866e+02,1.327846382463381270e-01
1.141613348915302417e+01,3.195522977181457502e+00,4.940503529128855049e-03,2.024085185050616076e+02,1.343125635683951880e-01
1.170863320259532614e+01,3.235255963641773036e+00,4.367336904350808957e-03,2.289724887044515356e+02,1.356852713669700894e-01
1.200471672953873181e+01,3.275867110942462634e+00,3.828814732317923578e-03,2.611774321591712464e+02,1.369090137514090422e-01
1.230434940187421766e+01,3.317316648185992811e+00,3.322171177888832636e-03,3.010079693230853195e+02,1.379896272883883168e-01
1.260749655149275661e+01,3.359564804474830524e+00,2.844891469288786216e-03,3.515072581134340339e+02,1.389325643981333125e-01
1.291412351028532868e+01,3.402571808911442730e+00,2.394685955353140910e-03,4.175912911522176501e+02,1.397429219624301278e-01
1.322419561014290856e+01,3.446297890598296387e+00,1.969467140300486425e-03,5.077515534721882204e+02,1.404254674230128452e-01
1.353767818295647274e+01,3.490703278637858453e+00,1.567329322246817890e-03,6.380280045845548784e+02,1.409846626182441054e-01
1.385453656061699945e+01,3.535748202132595885e+00,1.186530512328273865e-03,8.427933286247703109e+02,1.414246855789892954e-01
1.417473607501545985e+01,3.581392890184974753e+00,8.254763546293058564e-04,1.211421737754156538e+03,1.417494504807605415e-01
1.449824205804283395e+01,3.627597571897463347e+00,4.827058042351715624e-04,2.071655221930593598e+03,1.419626259281679403e-01
