x_m,y_m,curvature_1_per_m,radius_m,heading_rad
5.000000000000000000e+00,2.600000000000000089e+00,3.575888097731091952e-02,2.796508091610870039e+01,0.000000000000000000e+00
5.141231796503029194e+00,2.600350865145879986e+00,3.405854292141007045e-02,2.936120908952257125e+01,4.928614435574873477e-03
5.284101554876404983e+00,2.601397133664354655e+00,3.247146553047921408e-02,3.079626939108596417e+01,9.679803160105237073e-03
5.428573507826103040e+00,2.603129315176677228e+00,3.098839879603777422e-02,3.227014104800605310e+01,1.426282502214287068e-02
5.574611888058098152e+00,2.605537919304101280e+00,2.960097801609195070e-02,3.378266756782059588e+01,1.868632086366862205e-02
5.722180928278367773e+00,2.608613455667879943e+00,2.830162785050566523e-02,3.533365661092646093e+01,2.295836309153207605e-02
5.871244861192885800e+00,2.612346433889265906e+00,2.708347788102954956e-02,3.692287986028721036e+01,2.708650067515601736e-02
6.021767919507627909e+00,2.616727363589512745e+00,2.594028817809330978e-02,3.855007288795290066e+01,3.107780004124083978e-02
6.173714335928571550e+00,2.621746754389874035e+00,2.486638358489039538e-02,4.021493501803904280e+01,3.493888228355007675e-02
6.327048343161690624e+00,2.627395115911602019e+00,2.385659560717810768e-02,4.191712918582206981e+01,3.867595705944988638e-02
6.481734173912960806e+00,2.633662957775950719e+00,2.290621094921420700e-02,4.365628179261593544e+01,4.229485350394918131e-02
6.637736060888358658e+00,2.640540789604173266e+00,2.201092586627047265e-02,4.543198255609952696e+01,4.580104845587183726e-02
6.795018236793859856e+00,2.648019121017521904e+00,2.116680561551917070e-02,4.724378435576578994e+01,4.919969225889931491e-02
6.953544934335438299e+00,2.656088461637251097e+00,2.037024838257923964e-02,4.909120307316459275e+01,5.249563237203368204e-02
7.113280386219072327e+00,2.664739321084613088e+00,1.961795314300501109e-02,5.097371742660934046e+01,5.569343499909598649e-02
7.274188825150734949e+00,2.673962208980861455e+00,1.890689098850364611e-02,5.289076880001323389e+01,5.879740492479773595e-02
7.436234483836402731e+00,2.683747634947249328e+00,1.823427950837218370e-02,5.484176106551699803e+01,6.181160372535601799e-02
7.599381594982052235e+00,2.694086108605030283e+00,1.759755986898740507e-02,5.682606039956275623e+01,6.473986650426556688e-02
7.763594391293658248e+00,2.704968139575456565e+00,1.699437627937646841e-02,5.884299509206174150e+01,6.758581728842583125e-02
7.928837105477196445e+00,2.716384237479782193e+00,1.642255756997603594e-02,6.089185534829330493e+01,7.035288320611926549e-02
8.095073970238642502e+00,2.728324911939259856e+00,1.588010064552657433e-02,6.297189308316506384e+01,7.304430755614277349e-02
8.262269218283972094e+00,2.740780672575143129e+00,1.536515560239346337e-02,6.508232170745006329e+01,7.566316186653251896e-02
8.430387082319160896e+00,2.753742029008685144e+00,1.487601232608807070e-02,6.722231590560727454e+01,7.821235703163614827e-02
8.599391795050184584e+00,2.767199490861138589e+00,1.441108840692227784e-02,6.939101140477745844e+01,8.069465360763890260e-02
8.769247589183017055e+00,2.781143567753757040e+00,1.396891823102760187e-02,7.158750473453351049e+01,8.311267133892395742e-02
8.939918697423637539e+00,2.795564769307794073e+00,1.354814312079953911e-02,7.381085297694916392e+01,8.546889798073376010e-02
9.111369352478019934e+00,2.810453605144502376e+00,1.314750241352423583e-02,7.606007350653501931e+01,8.776569747740921301e-02
9.283563787052138139e+00,2.825800584885135081e+00,1.276582537979670771e-02,7.833414371957552191e+01,9.000531754993443267e-02
9.456466233851969605e+00,2.841596218150945319e+00,1.240202389459436547e-02,8.063200075238260922e+01,9.218989674153410530e-02
9.630040925583490008e+00,2.857831014563186667e+00,1.205508578373807108e-02,8.295254118796636078e+01,9.432147096559806432e-02
9.804252094952675023e+00,2.874495483743112256e+00,1.172406877713816874e-02,8.529462075060419579e+01,9.640197959618358736e-02
